"ITEM","DEPT","CLASS","SUBCLASS","STANDARD_UOM"
"1033","802","104","1040","EA"
"1034","802","104","1040","EA"
"1035","802","104","1040","EA"
"1036","802","104","1040","EA"
"1037","802","104","1040","EA"
"1038","802","104","1040","EA"
"1039","802","104","1040","EA"
"1040","802","104","1040","EA"
"1041","802","104","1040","EA"
"1162","802","104","1040","EA"
"1227","802","104","1040","EA"
"1343","802","104","1040","EA"
"1359","802","104","1040","EA"
"1361","802","104","1040","EA"
"1648","802","104","1040","EA"
"1043","802","104","1041","EA"
"1044","802","104","1041","EA"
"1045","802","104","1041","EA"
"1046","802","104","1041","EA"
"1047","802","104","1041","EA"
"1048","802","104","1041","EA"
"1049","802","104","1041","EA"
"1050","802","104","1041","EA"
"1051","802","104","1041","EA"
"1118","900","200","2001","EA"
"1119","900","200","2002","EA"
"1115","900","201","2010","EA"
"1116","900","201","2010","EA"
"1176","900","201","2010","EA"
"1188","900","201","2010","EA"
"1016","900","202","2020","EA"
"1017","900","202","2020","EA"
"1018","900","202","2020","EA"
"1019","900","202","2020","EA"
"1117","900","202","2021","EA"
"1166","900","202","2021","EA"
"1168","900","202","2021","EA"
"1189","900","202","2021","EA"
"1217","900","202","2021","EA"
"1225","900","202","2021","EA"
"2","903","900","9001","EA"
"5","903","900","9001","EA"
"16","903","900","9001","EA"
"18","903","900","9001","EA"
"21","903","900","9001","EA"
"1633","802","100","1001","EA"
"1634","802","100","1002","EA"
"1635","802","100","1002","EA"
"1636","802","100","1002","EA"
"1637","802","100","1002","EA"
"1638","802","100","1002","EA"
"1639","802","100","1002","EA"
"1647","802","100","1002","EA"
"1001","802","100","1003","EA"
"1003","802","100","1003","EA"
"1006","802","100","1003","EA"
"1013","802","101","1010","EA"
"1014","802","101","1010","EA"
"1015","802","101","1010","EA"
"1645","802","101","1010","EA"
"1646","802","101","1010","EA"
"1649","802","101","1010","EA"
"1640","802","102","1020","EA"
"1641","802","102","1020","EA"
"1642","802","102","1020","EA"
"1643","802","103","1030","EA"
"1644","802","103","1030","EA"
"1022","802","104","1040","EA"
"1023","802","104","1040","EA"
"1024","802","104","1040","EA"
"1025","802","104","1040","EA"
"1026","802","104","1040","EA"
"1027","802","104","1040","EA"
"1028","802","104","1040","EA"
"1029","802","104","1040","EA"
"1030","802","104","1040","EA"
"1031","802","104","1040","EA"
"1032","802","104","1040","EA"
"851610005288","500","662","1646","EA"
"859528006175","500","662","1648","EA"
"859528006182","500","662","1648","EA"
"8595280066324","500","662","1648","EA"
"859675001252","500","662","1648","EA"
"859764003655","500","662","1648","EA"
"914829224106","500","662","1648","EA"
"914829446364","500","662","1648","EA"
"914829553859","500","662","1648","EA"
"996931110782","500","662","1648","EA"
"843562450209","500","662","1650","EA"
"099900077007","500","662","1650","EA"
"099900088003","500","662","1650","EA"
"099991115541","500","662","1650","EA"
"099999000207","500","662","1650","EA"
"099999000740","500","662","1650","EA"
"100000010020","500","662","1650","EA"
"100000010037","500","662","1650","EA"
"100000010105","500","662","1650","EA"
"103112312457","500","662","1650","EA"
"1230000065085","500","662","1650","EA"
"1230000065603","500","662","1650","EA"
"169997699472","500","662","1650","EA"
"172910002952","500","662","1650","EA"
"172910111111","500","662","1650","EA"
"817920205534","500","662","1646","EA"
"819869021343","500","662","1646","EA"
"819869021350","500","662","1646","EA"
"819869023590","500","662","1646","EA"
"819869028076","500","662","1646","EA"
"8435624501350","500","662","1650","EA"
"836622007833","500","662","1646","EA"
"836622008540","500","662","1646","EA"
"836622009448","500","662","1646","EA"
"850004304396","500","662","1646","EA"
"850004421581","500","662","1646","EA"
"850004421802","500","662","1646","EA"
"850011023662","500","662","1646","EA"
"3760041751350","500","662","1648","EA"
"3760041751817","500","662","1648","EA"
"3760041752227","500","662","1648","EA"
"5025155049549","500","662","1648","EA"
"791222718193","500","662","1646","EA"
"791222718209","500","662","1646","EA"
"810046982525","500","662","1648","EA"
"810081492867","500","662","1648","EA"
"791222702833","500","662","1646","EA"
"791222706114","500","662","1646","EA"
